timestamp,location,temperature_c,distance_cm,tilt_deg,connection
2026-09-04T09:57:35,Point_01,30.2,104.8,1.8,CONNECTED
2026-09-04T09:57:40,Point_02,30.8,69.9,0.7,CONNECTED
2026-09-04T09:57:45,Point_03,30.1,91.7,2.8,CONNECTED
2026-09-04T09:57:50,Point_04,29.3,105.2,4.3,CONNECTED
2026-09-04T09:57:55,Point_05,30.1,99.9,4.7,CONNECTED
2026-09-04T09:58:00,Point_06,29.3,75.7,3.7,CONNECTED
2026-09-04T09:58:05,Point_07,30.7,88.9,3.1,CONNECTED
2026-09-04T09:58:10,Point_08,29.5,89.4,4.8,CONNECTED
2026-09-04T09:58:15,Point_09,35.2,101.0,2.7,CONNECTED
2026-09-04T09:58:20,Point_10,30.3,99.3,3.7,CONNECTED
2026-09-04T09:58:25,Point_11,31.7,83.3,2.7,CONNECTED
2026-09-04T09:58:30,Point_12,29.3,111.2,4.0,CONNECTED
2026-09-04T09:58:35,Point_13,47.8,78.0,2.1,CONNECTED
2026-09-04T09:58:40,Point_14,30.5,101.2,4.2,CONNECTED
2026-09-04T09:58:45,Point_15,29.5,94.0,3.5,CONNECTED
2026-09-04T09:58:50,Point_16,30.2,95.8,11.5,CONNECTED
2026-09-04T09:58:55,Point_17,30.5,96.9,3.3,CONNECTED
2026-09-04T09:59:00,Point_18,30.5,86.6,1.3,CONNECTED
